brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
Huawei,Y7 Prime (2019),2019,January,"2,235,048",68,6.26,720,1520,13,1080p,32GB,3GB,4000,GSM / HSPA / LTE,158.9,76.9,8.1,"Android 8.1 (Oreo), EMUI 8.2",Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,200
Huawei,Y7 (2019),2019,March,"1,007,484",29,6.26,720,1520,13,1080p,32GB,3GB,4000,GSM / HSPA / LTE,158.9,76.9,8.1,"Android 8.1 (Oreo), EMUI 8.2",Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,
Huawei,Y6 (2019),2019,March,"2,075,808",33,6.09,720,1560,13,1080p,32GB,2GB,3020,GSM / HSPA / LTE,156.3,73.5,,"Android 9.0 (Pie), EMUI 9.1",Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,
Huawei,Y6 Pro (2019),2019,February,"1,341,384",39,6.09,720,1560,13,1080p,32GB,3GB,3020,GSM / HSPA / LTE,156.3,73.5,,"Android 9.0 (Pie), EMUI 9",Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,120
Huawei,Y Max,2018,November,"452,029",46,7.12,1080,2244,16,1080p,128GB,4GB,5000,GSM / HSPA / LTE,177.6,86.2,8.5,"Android 8.1 (Oreo), EMUI 8.2",Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,280
Huawei,Enjoy 9s,2019,March,"250,499",24,6.21,1080,2340,24,1080p,64GB,4GB,3400,GSM / CDMA / HSPA / LTE,155.2,73.4,,"Android 9.0 (Pie), EMUI 9",Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,200
Huawei,MediaPad M5 Lite 8,2019,March,"126,033",11,8.0,1920,1200,13,1080p,32GB,3GB,5100,GSM / HSPA / LTE,204.2,122.2,8.2,"Android 9.0 (Pie), EMUI 9.0",Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,No,160
Huawei,Enjoy 9e,2019,March,"165,531",12,6.09,720,1560,13,1080p,32GB,3GB,3020,GSM / CDMA / HSPA / LTE,156.3,73.5,,"Android 9.0 (Pie), EMUI 9",Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,120
Huawei,Y5 (2019),2019,April,"1,354,274",28,5.71,720,1520,13,1080p,16GB,2GB,3020,GSM / HSPA / LTE,147.1,70.8,8.5,"Android 9.0 (Pie), EMUI 9.1",Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,FM,
HTC,One (M8) for Windows (CDMA),2014,August,"291,879",46,5.0,1080,1920,4,1080p,32GB,2GB,2600,GSM / CDMA / HSPA / EVDO,146.4,70.6,9.4,Microsoft Windows Phone 8.1.1,Qualcomm MSM8974AB Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,300
HTC,One (M8) for Windows,2014,August,"894,362",100,5.0,1080,1920,4,1080p,32GB,2GB,2600,GSM / HSPA / LTE,146.4,70.6,9.4,Microsoft Windows Phone 8.1.1,Qualcomm MSM8974AB Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,Stereo,300
HTC,Desire 510,2014,August,"3,922,576",58,4.7,480,854,5,1080p,8GB,1GB,2100,GSM / CDMA / HSPA / LTE,139.9,69.8,10,"Android 4.4.2 (KitKat), Sense UI 5.5","Qualcomm MSM8916 Snapdragon 410 (28 nm) - EU model,Qualcomm Snapdragon 400 (28 nm) - USA model","Quad-core 1.2 GHz Cortex-A53 - EU model,Quad-core 1.2 GHz Cortex-A7 - USA model","Adreno 306 - EU model,Adreno 305 - USA model",microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,200
HTC,One (E8) CDMA,2014,August,"576,966",18,5.0,1080,1920,13,1080p,16GB,2GB,2600,GSM / CDMA / HSPA / EVDO / LTE,146.4,70.7,9.9,"Android 4.4.2 (KitKat), Sense UI 6",Qualcomm MSM8975AC Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,350
HTC,Desire 820,2014,September,"13,814,747",278,5.5,720,1280,13,1080p,16GB,2GB,2600,GSM / HSPA / LTE,157.7,78.7,7.7,"Android 4.4.2 (KitKat), upgradable to 6.1 (Marshmallow), Sense UI 7",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,340
HTC,Desire 820 dual sim,2014,September,"4,791,354",133,5.5,720,1280,13,1080p,16GB,2GB,2600,GSM / HSPA / LTE,157.7,78.7,7.7,"Android 4.4.2 (KitKat), Sense UI 6",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,320
HTC,Desire 820q dual sim,2014,October,"1,441,953",17,5.5,720,1280,13,1080p,16GB,1GB,2600,GSM / HSPA / LTE,157.7,78.7,7.7,"Android 4.4.2 (KitKat), Sense UI 6",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,260
HTC,Desire 612,2014,October,"592,294",23,4.7,540,960,8,1080p,8GB,1GB,2040,GSM / CDMA / EVDO / LTE,143.8,70.4,9.4,"Android 4.4.2 (KitKat), Sense UI 5.5",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,240
HTC,Desire Eye,2014,October,"6,657,957",340,5.2,1080,1920,13,1080p,16GB,2GB,2400,GSM / HSPA / LTE,151.7,73.8,8.5,"Android 4.4.4 (KitKat), upgradable to 6.1 (Marshmallow), Sense UI 7",Qualcomm Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,380
HTC,One (M8 Eye),2014,October,"3,052,530",153,5.0,1080,1920,13,1080p,16GB,2GB,2600,GSM / HSPA / LTE,146.4,70.6,9.4,"Android 4.4.4 (KitKat), upgradable to 6.1 (Marshmallow), Sense UI 7",Qualcomm Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,260
HTC,Desire 816G dual sim,2014,September,"7,057,486",70,5.5,720,1280,13,1080p,8GB,1GB,2600,GSM / HSPA,156.6,78.7,,"Android 4.4.2 (KitKat), Sense UI 6",Mediatek MT6582 - India model,"Quad-core 1.3 GHz Cortex-A7 - India model,Octa-core 1.7 GHz - SEA model",Mali-400MP2 - India model,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,260
HTC,Nexus 9,2014,October,"3,406,241",336,8.9,1536,2048,8,1080p,16GB,2GB,6700,GSM / HSPA / LTE,228.2,153.7,,"Android 5.0 (Lollipop), upgradable to 7.1.1 (Nougat)",Nvidia Tegra K1,Dual-core 2.3 GHz Denver,Kepler DX1,No,Yes,Yes,Wi-Fi,4.1,Yes,No,300
HTC,Desire 620,2014,December,"4,691,554",43,5.0,720,1280,8,1080p,8GB,1GB,2100,GSM / HSPA / LTE,150.1,72.7,9.6,"Android 4.4.4 (KitKat), Sense UI",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,180
HTC,Desire 320,2015,January,"938,171",19,4.5,480,854,5,1080p,4GB,1GB,2100,GSM / HSPA,132,67.8,10.5,Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,80
HTC,Desire 626,2014,February,"8,828,794",98,5.0,720,1280,13,1080p,16GB,1GB,2000,GSM / HSPA / LTE,146.9,70.9,8.2,Android 4.4.4 (KitKat),"Mediatek MT6752,Qualcomm Snapdragon 410 (28 nm)","Octa-core 1.7 GHz Cortex-A53,Quad-core 1.2 GHz Cortex-A53","Mali-T760MP2,Adreno 306",microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,180
HTC,Desire 620G dual sim,2014,December,"6,601,712",72,5.0,720,1280,8,1080p,8GB,1GB,2100,GSM / HSPA,150.1,72.7,9.6,"Android 4.4.4 (KitKat), Sense UI",Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,190
Huawei,P Smart Z,2019,May,"827,534",80,6.59,1080,2340,16,1080p,64GB,4GB,4000,GSM / HSPA / LTE,163.5,77.3,8.8,"Android 9.0 (Pie), EMUI 9",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,FM,280
HTC,Desire 826 dual sim,2015,January,"9,343,123",198,5.5,1080,1920,13,1080p,16GB,2GB,2600,GSM / HSPA / LTE,158,77.5,,"Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), Sense UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,200
Huawei,Y9 Prime (2019),2019,August,"2,805,297",156,6.59,1080,2340,16,1080p,64GB,4GB,4000,GSM / HSPA / LTE,163.5,77.3,8.9,"Android 9.0 (Pie), upgradable to Android 10, Magic UI 2.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,FM,
Huawei,nova 5i,2019,June,"561,792",53,6.4,1080,2310,24,1080p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE,159.1,75.9,8.3,"Android 9.0 (Pie), EMUI 9.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,260
Huawei,P20 lite (2019),2019,June,"791,321",57,6.4,1080,2310,16,1080p,64GB,4GB,4000,GSM / HSPA / LTE,159.1,75.9,8.3,"Android 9.0 (Pie), EMUI 9.1",Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,FM,280
Huawei,nova 5,2019,June,"847,586",81,6.39,1080,2340,48,1080p,128GB,8GB,3500,GSM / CDMA / HSPA / LTE,157.4,74.8,7.3,"Android 9.0 (Pie), EMUI 9.1",Kirin 810 (7 nm),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,NM,Yes,No,Wi-Fi,5.0,Yes,No,360
HTC,Desire 526G+ dual sim ,2015,January,"5,887,921",36,4.7,540,960,8,1080p,8GB,1GB,2000,GSM / HSPA,139.8,69.8,9.9,Android 4.4.2 (KitKat),,"Octa-core 1.7 GHz - 526G+ model,Quad-core 1.3 GHz - 526G model",,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,160
Huawei,MediaPad M6 8.4,2019,June,"200,171",42,8.4,2560,1600,13,1080p,64GB,4GB,6100,GSM / HSPA / LTE,206.4,125.2,7.4,"Android 9.0 (Pie), EMUI 9.1",Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,260
Huawei,MediaPad M6 Turbo 8.4,2019,September,"217,968",56,8.4,2560,1600,13,1080p,128GB,6GB,6100,GSM / CDMA / HSPA / LTE,206.4,125.2,8.2,"Android 9.0 (Pie), EMUI 9.1",Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,350
Huawei,MediaPad M6 10.8,2019,June,"312,571",51,10.8,2560,1600,13,1080p,64GB,4GB,7500,GSM / HSPA / LTE,257,170,7.2,"Android 9.0 (Pie), EMUI 9.1",Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,microSDXC,Yes,Yes,Wi-Fi,5.0,Yes,No,300
Huawei,nova 5 Pro,2019,June,"915,844",106,6.39,1080,2340,48,2160p,128GB,8GB,3500,GSM / CDMA / HSPA / LTE,157.4,74.8,7.3,"Android 9.0 (Pie), EMUI 9.1",Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,NM,Yes,No,Wi-Fi,5.0,Yes,No,390
Huawei,nova 5T,2019,August,"3,479,200",277,6.26,1080,2340,48,2160p,128GB,6GB,3750,GSM / HSPA / LTE,154.3,74,7.8,"Android 9.0 (Pie), upgradable to Android 10, EMUI 10",Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,No,Yes,No,Wi-Fi,5.0,Yes,No,
Huawei,Enjoy 10 Plus,2019,September,"314,912",46,6.59,1080,2340,48,1080p,128GB,4GB,4000,GSM / CDMA / HSPA / EVDO / LTE,163.5,77.3,8.8,"Android 9.0 (Pie), EMUI 9.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC,Yes,Yes,"Wi-Fi,Wi-Fi",4.2,Yes,FM,190
Huawei,nova 5i Pro,2019,July,"904,538",103,6.26,1080,2340,48,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE,156.1,73.9,8.3,"Android 9.0 (Pie), EMUI 9.1",Kirin 810 (7 nm),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,NM,Yes,Yes,Wi-Fi,5.0,Yes,FM,290
Huawei,Mate 30,2019,September,"668,187",116,6.62,1080,2340,40,2160p,128GB,6GB,4200,GSM / HSPA / LTE,160.8,76.1,8.4,"Android 10, EMUI 10",Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,NM,Yes,Yes,Wi-Fi,5.1,Yes,No,550
Huawei,Mate 30 5G,2019,September,"277,946",66,6.62,1080,2340,40,2160p,128GB,6GB,4200,GSM / HSPA / LTE / 5G,160.8,76.1,8.4,"Android 10, EMUI 10",Kirin 990 5G (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,NM,Yes,Yes,Wi-Fi,5.1,Yes,No,650
HTC,One M9,2015,March,"16,398,055",878,5.0,1080,1920,20,2160p,32GB,3GB,2840,GSM / HSPA / LTE,144.6,69.7,9.6,"Android 5.0 (Lollipop), upgradable to 7.0 (Nougat), Sense UI 7",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,Stereo,360
HTC,One E9,2015,May,"1,372,494",42,5.5,1080,1920,13,Video recorder,16GB,2GB,2800,GSM / HSPA / LTE,156.5,76.5,7.5,"Android 5 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795M Helio X10 (28 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR G6200,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,320
HTC,One E9+,2015,March,"5,146,361",267,5.5,1440,2560,20,2160p,32GB,3GB,2800,GSM / HSPA / LTE,156.5,76.5,7.5,"Android 5 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795M Helio X10 (28 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR G6200,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,320
HTC,One M8s,2015,April,"1,825,799",121,5.0,1080,1920,13,1080p,16GB,2GB,2840,GSM / HSPA / LTE,146.4,70.6,9.6,"Android 5 (Lollipop), Sense UI 7",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,Stereo,330
HTC,One M9+,2015,April,"6,241,926",386,5.2,1440,2560,20,2160p,32GB,3GB,2840,GSM / HSPA / LTE,151,72,9.6,"Android 5.2 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795T Helio X10 (28 nm),Octa-core 2.2 GHz Cortex-A53,PowerVR G6200,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,Stereo,300
HTC,Desire 820G+ dual sim,2015,May,"3,748,012",42,5.5,720,1280,13,1080p,16GB,1GB,2600,GSM / HSPA,157.7,78.7,7.7,"Android 4.4.2 (KitKat), Sense UI 6",Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,180
HTC,Desire 326G dual sim,2015,April,"1,558,998",18,4.5,480,854,8,1080p,8GB,1GB,2000,GSM / HSPA,139.7,69.6,9.7,Android 4.4.2 (KitKat),Spreadtrum SC7731G,Quad-core 1.2 GHz,,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,FM,130
HTC,Desire 520,2015,August,"446,716",13,4.5,480,854,8,720p,8GB,1GB,2000,GSM / HSPA / LTE,139.8,68.9,9.1,"Android 5.1 (Lollipop), Sense 7 UI",Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
HTC,Desire 526,2015,July,"1,210,109",22,4.7,540,960,8,720p,8GB,5GB,2000,GSM / HSPA / LTE,140,70,9.9,"Android 5.1 (Lollipop), Sense 7 UI",Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,110
HTC,Desire 626s,2015,July,"1,771,435",30,5.0,720,1280,8,720p,8GB,1GB,2000,GSM / HSPA / LTE,146.8,70.9,8.1,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), Sense UI 7",Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,190
HTC,Desire 626 (USA),2015,July,"521,556",16,5.0,720,1280,8,720p,16GB,5GB,2000,GSM / HSPA / EVDO / LTE,146.9,70.9,8.2,"Android 5.1 (Lollipop), Sense 7 UI",Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,
Huawei,Watch GT 2,2019,September,"499,236",53,1.39,454,454,,,4GB,32MB,455,No cellular connectivity,45.9,45.9,10.7,Huawei wearable platform,,,,No,No,No,No,5.1,Yes,No,
HTC,One ME,2015,June,"2,942,511",215,5.2,1440,2560,20,2160p,32GB,3GB,2840,GSM / HSPA / LTE,151,72,9.8,"Android 5.2 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795 Helio X10 (28 nm),Octa-core 2.2 GHz Cortex-A53,PowerVR G6200,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,340
HTC,One A9,2015,September,"6,428,240",299,5.0,1080,1920,13,1080p,16GB,2GB,2150,GSM / HSPA / LTE,145.8,70.8,7.3,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat), Sense UI",Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,300
HTC,One M9+ Supreme Camera,2015,September,"1,063,312",109,5.2,1440,2560,21,2160p,32GB,3GB,2840,GSM / HSPA / LTE,151,72,9.6,"Android 5.2 (Lollipop), Sense UI 7",Mediatek MT6795T Helio X10 (28 nm),Octa-core 2.2 GHz Cortex-A53,PowerVR G6200,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,Stereo,480
HTC,Butterfly 3,2015,September,"1,409,456",133,5.2,1440,2560,20,2160p,32GB,3GB,2700,GSM / HSPA / LTE,151,73,10,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow), Sence 7",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,No,300
HTC,One E9s dual sim,2015,October,"1,335,476",33,5.5,720,1280,13,1080p,16GB,2GB,2600,GSM / HSPA / LTE,157.7,79.7,7.6,"Android 5 (Lollipop), Sense UI 7",Mediatek MT6752M,Octa-core 1.5 GHz Cortex-A53,Mali-T760MP2,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,310
HTC,Desire 828 dual sim,2015,November,"3,199,353",69,5.5,1080,1920,13,1080p,16GB,2GB,2800,GSM / CDMA / HSPA / LTE,157.7,78.9,7.9,"Android 5.1 (Lollipop), Sense UI 6",Mediatek MT6753 (28 nm),Octa-core 1.5 GHz Cortex-A53,Mali-T720MP3,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,130
Icemobile,Rock,2011,June,"50,475",4,1.77,128,160,,,,,800,GSM,109.7,46.6,15,,,,,microSD,No,No,No,No,No,Stereo,
Icemobile,Viento II,2011,June,"54,516",3,2.0,220,176,,,,,800,GSM,100,55,13.5,,,,,microSD,No,Yes,No,2.0,No,Stereo,
Icemobile,Comet II,2011,June,"50,518",3,2.2,220,176,,,,,1050,GSM,111.5,60,12.8,,,,,microSD,Wi,Yes,Wi-Fi,Yes,No,Stereo,
Icemobile,Crystal,2011,February,"74,835",3,3.5,240,400,1,Video recorder,512MB,,1050,GSM,111.5,56.2,13.1,Android 2.2 (Froyo),Mediatek MT6516,416 MHz,,microSD,Yes,Yes,Wi-Fi,Yes,Yes,Stereo,
Icemobile,Shine,2011,June,"85,801",3,3.2,320,480,2,Video recorder,512MB,256MB,,GSM / HSPA,112,58,13.5,Android 2.2 (Froyo),,,,microSDHC,Yes,Yes,Wi-Fi,2.1,Yes,FM,
HTC,Desire 728 dual sim,2015,September,"3,881,037",55,5.5,720,1280,13,1080p,16GB,5GB,2800,GSM / CDMA / HSPA / EVDO / LTE,157.9,77.8,7.9,"Android 5.1.1 (Lollipop), Sense UI",Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,240
Icemobile,Flurry II,2011,August,"49,589",3,2.0,220,176,,Video recorder,,,800,GSM,98,53,13.5,,,,,microSDHC,No,No,No,Yes,No,Stereo,
Icemobile,Clima II,2011,May,"67,544",6,2.4,640,320,2,Video recorder,,,1000,GSM,108.6,60,12.5,Android 2.2 (Froyo),Mediatek MT6516,416 MHz,,microSDHC,Yes,Yes,Wi-Fi,Yes,No,Stereo,70
Icemobile,Wave,2011,October,"49,708",4,2.2,240,320,,Video recorder,,,800,GSM,111,50,14.3,,,,,microSDHC,No,Yes,No,Yes,No,Stereo,
Icemobile,Storm,2011,August,"57,595",4,2.0,220,176,,Video recorder,,,1000,GSM,106.5,59,14.6,,,,,microSDHC,No,Yes,No,Yes,No,Stereo,
Icemobile,Twister,2011,October,"50,192",5,2.4,240,320,2,Video recorder,,,1000,GSM / HSPA,111.3,50,13,,,,,microSDHC,No,Yes,No,Yes,No,Stereo,
Icemobile,Tornado II,2011,September,"60,576",3,2.2,320,240,,Video recorder,,,1050,GSM,107,45.4,13.8,,,,,microSD,Wi,Yes,Wi-Fi,Yes,No,Stereo,
Icemobile,Sol,2011,October,"57,809",4,2.4,240,320,,,,,850,GSM,96.2,52,13.2,,,,,microSDHC,No,Yes,No,Yes,No,Stereo,
Icemobile,Hurricane II,2011,December,"58,803",7,2.2,240,320,,Video recorder,64MB,,1050,GSM,111.5,60,12.8,,,,,microSDHC,Wi,,Wi-Fi,Yes,No,FM,
Icemobile,Fuego,2012,January,"61,638",7,2.0,220,176,1,Video recorder,,,950,GSM,88.5,57.6,17.5,,,,,microSDHC,No,,No,Yes,No,Stereo,
Icemobile,Twilight II,2012,,"59,322",6,2.4,240,320,2,Video recorder,,,700,GSM,100,51.2,17.6,,,,,microSDHC,No,No,No,2.0,No,Stereo,
Icemobile,Rock Mini,2012,March,"58,036",9,1.8,128,160,1,Video recorder,,,700,GSM,103.2,45.2,14.5,,,,,microSD,No,No,No,No,No,Stereo,
Infinix,Note 3,2016,July,"91,963",0,6.0,1080,1920,13,1080p,16GB,2GB,4500,GSM / HSPA / LTE,162.5,82.8,8.4,Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,
Infinix,Note 3 Pro,2016,July,"73,045",3,6.0,1080,1920,13,1080p,16GB,2GB,4500,GSM / HSPA / LTE,162.5,82.8,8.4,Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,No,Yes,Yes,Wi-Fi,4.0,Yes,FM,
