brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
Oppo,R5s,2015,August,"676,701",64,5.2,1080,1920,13,1080p,32GB,3GB,2000,GSM / HSPA / LTE,148.9,74.5,4.9,"Android 4.4.4 (KitKat), ColorOS 2",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,No,Yes,No,Wi-Fi,4.0,Yes,No,200
Oppo,Mirror 5s,2015,July,"753,522",37,5.0,720,1280,8,1080p,16GB,2GB,2420,GSM / HSPA / LTE,143.4,71.2,7.7,"Android 5.1 (Lollipop), ColorOS 2.1",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
Oppo,R7 lite,2015,September,"2,423,734",71,5.0,720,1280,13,1080p,16GB,2GB,2320,GSM / HSPA / LTE,143,71,6.3,"Android 5.1 (Lollipop), ColorOS 2.1",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,250
Oppo,R7s,2015,October,"2,452,955",104,5.5,1080,1920,13,1080p,32GB,4GB,3070,GSM / HSPA / LTE,151.8,75.4,,"Android 5.1 (Lollipop), ColorOS 2.1",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,260
Oppo,Neo 7,2015,October,"13,234,168",93,5.0,540,960,8,1080p,16GB,1GB,2420,GSM / HSPA / LTE,142.7,71.7,7.6,"Android 5.1 (Lollipop), ColorOS 2.1","Mediatek MT6582 - 3G model,Qualcomm MSM8916 Snapdragon 410 (28 nm) - 4G model","Quad-core 1.3 GHz Cortex-A7 - 3G model,Quad-core 1.2 GHz Cortex-A53 - 4G model","Mali-400MP2,Adreno 306","microSDXC,microSDHC",Yes,Yes,Wi-Fi,4.0,Yes,FM,140
Oppo,F1,2016,January,"17,438,806",172,5.0,720,1280,13,1080p,16GB,3GB,2500,GSM / HSPA / LTE,143.5,71,7.3,"Android 5.1 (Lollipop), ColorOS 2.1",Qualcomm MSM8939v2 Snapdragon 616 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,230
Oppo,A33,2015,November,"2,079,590",39,5.0,540,960,8,1080p,16GB,2GB,2400,GSM / HSPA / LTE,142.7,71.7,7.6,"Android 5.1 (Lollipop), ColorOS 2.1",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,240
Oppo,F1 Plus,2016,March,"12,003,981",217,5.5,1080,1920,13,1080p,64GB,4GB,2850,GSM / HSPA / LTE,151.8,74.3,6.6,"Android 5.1 (Lollipop), ColorOS 3",Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,350
Oppo,R9 Plus,2016,March,"3,344,400",154,6.0,1080,1920,16,2160p,64GB,4GB,4120,GSM / CDMA / HSPA / EVDO / LTE,163.1,80.8,7.4,"Android 5.1 (Lollipop), upgradable to 6 (Marshmallow), ColorOS 3",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,No,550
Oppo,A59,2016,June,"1,269,881",21,5.5,720,1280,13,1080p,32GB,3GB,3075,GSM / CDMA / HSPA / EVDO / LTE,154.5,76,7.4,"Android 5.1 (Lollipop), ColorOS 3",Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,290
